ItemName_Base.TatteredPaper = "Tattered Paper",
Sandbox_ImmersiveLore_BlacklistedStories = "Blacklisted Stories",
Sandbox_ImmersiveLore_BlacklistedStories_tooltip = "IDs of stories you don't want to spawn, separated by semicolons. Requires a restart after changing.",
Sandbox_ImmersiveLore_Options = "Immersive Lore Options",
UI_ImmersiveLore_Story_0_Content = "Son, if you find this letter know that I'm almost certainly dead.\n\nIt was not your fault, at the time I didn't know the monster your mother had become and she got me.\nI didn't think much of it because I didn't know what would be the consequence of the bite but I can feel my body getting weaker and weaker and feel like this wretched disease is trying to take over my mind like a parasite. I plan to drive out to the cabin and go out on my own terms.\nPlease know that this is my own decision and not your fault.\n\nI will and always have loved you son, Goodbye.\n\n-Dad",
UI_ImmersiveLore_Story_0_Title = "Letter to Son",
UI_ImmersiveLore_Story_100_Content = "Louisville ZOO\nCome and have a WILD and unforgettable time in Louisville!\nAdmit ONE (+ any child under 5)\nValid thru: 7-2-93\nNon-transferable",
UI_ImmersiveLore_Story_100_Title = "Louisville Zoological Gardens Ticket",
UI_ImmersiveLore_Story_101_Content = "Content: Another attack on America has begun! On our HEARTLAND no less! And I know who it was that done it! It was the CONTRAS! Always meddling in our affairs and giving us a bad name! JUST LIKE THE DIRTY FOREIGNERS THEY ARE! We shoulda nuked them when we had the chance. If I'd been the one with the button in my hand you can be sure as hell they WOULDA BEEN! Now they got us turning on one another just like they did to the MEXICANS!\nWell I ain't MEXICAN I'm AMERICAN and I know BETTER! I ain't gonna eat my neighbor! I'm gonna find and eat YOU! Damn you CONTRAS! Damn you all to HELL!",
UI_ImmersiveLore_Story_101_Title = "Speculative Scribbling",
UI_ImmersiveLore_Story_102_Content = "ONE NIGHT ONLY!\nJOEY and the MONSTERS!\nCome catch the most AMERICAN rockers to hit the stage since 1976!\n\nStraight out of the post-punk scene of SoCal, Joey and the band are tearing across America on their annual cross-country 4th of July Tour! From Los Angeles to Woodstock, it's a different city every night for the Monsters, so catch them while you can!\n\nONE NIGHT ONLY!\nAT ROMUALD DRON MEMORIAL PARK\nIN THE LOUISVILLE FAIRGROUNDS, LOUISVILLE, KENTUCKY\nJUNE 30, 1993\nGates open at 4 PM\nGET TICKETS NOW!",
