
------ 1926311864 :: Soul Filcher's Clearing Time ------

1926311864::EN::ItemName_Base.CuttingBoardWooden = "Wooden Cutting Board",
1926311864::CN::ItemName_Base.CuttingBoardWooden = "ceshiceshi木质砧板dafdsa",
	1926311864::EN::ItemName_Base.PoolballInSock = "Poolball In Sock",
	1926311864::CN::ItemName_Base.PoolballInSock = "装有台球的袜子",
	1926311864::EN::ItemName_Base.Recorder = "Recorder",
	1926311864::CN::ItemName_Base.Recorder = "录音机",
	1926311864::EN::ItemName_Base.WalkingCane = "Walking Cane",
	1926311864::CN::ItemName_Base.WalkingCane = "手杖",
	1926311864::EN::ItemName_Base.WoodenCross = "Wooden Cross",
	1926311864::CN::ItemName_Base.WoodenCross = "木制十字架",


------ 1945359259 :: Dreams ------

	1945359259::EN::IGUI_Dream1 = "Nearby the ordinary block of flat, the enough ailing woman is lying under the blanket. She ask me hurry to the pharmacy and buy the pills. I’m running for the pills but I don’t remember the purchase moment. Then I’m coming back with pills, but woman has already dead. I hear a car siren, return my head but a car isn’t here. Return back. Everything is exactly the same: the situation, the woman, the blanket are ones… But she is again alive. And ask me go to the pharmacy. I’m running to the pharmacy again just realizing that she will die. So I’m coming back; she is dead.",
	1945359259::CN::IGUI_Dream1 = "在普通公寓楼附近, 一个病重的女人盖着毯 <LINE> 子躺着. 她让我赶紧去药店买药. 我跑去买 <LINE> 药, 但不记得购买的过程. 当我带着药回来 <LINE> 时, 女人已经死了. 我听到汽车警报声, 回 <LINE> 头却看不到车. 再次返回时, 一切都一模一 <LINE> 样: 场景、女人、毯子...但她又活了过 <LINE> 来, 再次让我去药店. 我再次跑去药店, 心 <LINE> 里明白她还是会死. 当我回来时, 她又死了.",
	1945359259::EN::IGUI_Dream10 = "Music is playing. The girl on the water merry-go-round easily spins and sings. With each turn, a shark swims up to her and kisses her leg. I spin with her, sharks kiss me too. When we stop, the sharks go deep. We start spinning, sharks rise and swim too.",
	1945359259::CN::IGUI_Dream10 = "音乐响起.  <LINE> 旋转木马上的女孩轻盈地转着圈唱歌.  <LINE> 每转一圈, 就有鲨鱼游过来亲吻她的腿.  <LINE> 我和她一起旋转, 鲨鱼们也来亲吻我.  <LINE> 当我们停下时, 鲨鱼潜入了深水.  <LINE> 再次旋转时, 它们又浮出水面游过来.  <LINE> ",
	1945359259::EN::IGUI_Dream100 = "I am in a dense forest surrounded by tall trees. I don't think this is my first time here. I go to the center of the forest and apparently looking for something very important, because my heart starts to beat faster and faster. Soon I find a mysterious path that leads to the lake. I understand that a real sacred place. <LINE> <LINE> The atmosphere around me reminds me of my past lives, adventures and worries. My hands begin to turn silver and my eyes glow with a ghostly light. I raise my hands to the sky, and the amulet, which rushes about, appears in my hands. I feel my spirit so strongly that it seems to me that I can do everything that I need. <LINE> <LINE> But beyond the limits of my consciousness there is something else mysterious. I feel like I'm being watched, but I can't find anything among the tall trees. I turn quickly, but no one is there. My instincts tell me that this is not all it takes. I keep walking forward, hoping to find answers to my questions along the way. <LINE> <LINE> But suddenly I wake up, and the feeling of my past is only getting weaker and weaker. I feel like it was all very real, but now I'm here in the present and it's a different world. But in my soul I know that the past will stay with me forever...",
	1945359259::CN::IGUI_Dream100 = "我在茂密森林里, 周围是高耸的树木. 感觉 <LINE> 不是第一次来. 我走向森林中心寻找非常重要 <LINE> 的东西, 心跳越来越快. 很快发现一条通往 <LINE> 湖泊的神秘小路. 我明白这是真正的圣地.  <LINE> 周围环境让我想起前世、冒险和忧虑.  <LINE> 双手开始变成银色, 眼睛发出幽灵般的光.  <LINE> 我向天空举起双手, 护身符突然出现在手中.  <LINE> 感觉灵魂如此强大, 似乎能做任何事.  <LINE> 但在意识边缘还有更神秘的东西. 感觉被监视,  <LINE> 但在高树间找不到任何东西. 快速转身, 空无 <LINE> 一人.  <LINE> 直觉告诉我事情没那么简单. 继续前进,  <LINE> 希望沿途找到答案.  <LINE> 但突然醒来, 前世的感觉逐渐消退.  <LINE> 感觉一切如此真实, 但现在我在当下, 这是 <LINE> 不同的世界. 但灵魂深处知道过去将 <LINE> 永远与我同在...",
	1945359259::EN::IGUI_Dream101 = "I start my journey inside a huge colorful labyrinth filled with different animals and mystical creatures. I strive to get out of this tangled web, but instead I search for treasures, solve riddles and fight scary monsters. Then I find myself in a huge meadow where the most beautiful flowers bloom, and everything around is so quiet and calm. I hear only the birds singing and the sound of the grass under my feet. I wander through this meadow, just enjoying this beauty. And here, being away from the earth, I'm already on a huge flying dragon! Together we fly through the air, look at the beautiful views and there is nothing more important in the world than this moment...",
	1945359259::CN::IGUI_Dream101 = "我进入充满动物和神秘生物的彩色迷宫.  <LINE> 本应寻找出口, 却开始寻宝、解谜、与恐怖 <LINE> 怪物战斗. 后来来到开满鲜花的巨大草地, 如此宁静.  <LINE> 只有鸟鸣和脚下草叶的沙沙声. 漫步草地享受 <LINE> 美景. 突然已远离地面, 骑在巨龙背上!  <LINE> 我们一起翱翔天际, 俯瞰美景, 此刻世上 <LINE> 再无更重要之事...",
